time,temp,rh,wind,winddir,pressure
2/12/2020 3:05,8.53,30.14,3.234,308.6,972.9643
2/12/2020 3:05,8.49,30.21,2.744,293.2,973.2954
2/12/2020 3:05,8.46,30.11,2.45,301.5,973.5437
2/12/2020 3:06,8.42,30.21,2.352,289.4,973.6265
2/12/2020 3:06,8.53,30.21,2.058,280.9,973.792
2/12/2020 3:06,8.49,30.21,1.862,290.1,973.4609
2/12/2020 3:06,8.39,30.21,1.47,295.8,973.3782
2/12/2020 3:06,8.39,30.25,1.274,303.7,972.7987
2/12/2020 3:06,8.35,30.28,0.98,321.2,972.8815
2/12/2020 3:06,8.39,30.28,0.784,333,973.2954
2/12/2020 3:06,8.32,30.21,0.784,316.9,973.5437
2/12/2020 3:06,8.39,30.32,0.882,311.7,973.5437
2/12/2020 3:06,8.35,30.28,1.078,320,973.4609
2/12/2020 3:06,8.25,30.25,1.568,330.4,973.4609
2/12/2020 3:06,8.25,30.32,1.372,331.6,973.2126
2/12/2020 3:06,8.25,30.35,1.372,325.2,972.7987
2/12/2020 3:06,8.32,30.45,1.372,318.4,972.8815
2/12/2020 3:06,8.28,30.38,1.372,314.1,973.2954
2/12/2020 3:06,8.28,30.52,1.96,312.2,973.6265
2/12/2020 3:06,8.22,30.59,2.45,316.1,973.6265
2/12/2020 3:06,8.25,30.59,2.058,307.4,973.4609
2/12/2020 3:06,8.22,30.63,1.862,300.7,973.0471
2/12/2020 3:06,8.15,30.66,0.98,14.3,972.7987
2/12/2020 3:06,8.15,30.73,1.078,89.4,972.8815
2/12/2020 3:06,8.18,30.76,0.784,73.25,972.9643
2/12/2020 3:06,8.15,30.8,0.588,292.6,973.3782
2/12/2020 3:06,8.11,30.87,1.078,280.7,973.6265
2/12/2020 3:06,8.11,30.8,1.47,326.9,973.6265
2/12/2020 3:06,8.11,30.9,1.568,342,973.4609
2/12/2020 3:06,8.04,30.97,1.568,334.6,973.0471
2/12/2020 3:06,8.08,30.97,1.764,328.8,972.7987
2/12/2020 3:06,8.04,31.07,1.666,317.3,973.0471
2/12/2020 3:06,7.974,30.97,1.666,316.5,973.3782
2/12/2020 3:06,8.04,31.07,1.666,322.9,973.3782
2/12/2020 3:06,8.04,31.11,1.764,327.7,973.5437
2/12/2020 3:06,8.01,31.14,1.666,330.4,973.4609
2/12/2020 3:06,8.01,31.18,2.058,310,973.4609
2/12/2020 3:06,8.04,31.18,2.548,296.6,972.9643
2/12/2020 3:06,7.974,31.28,2.842,302.7,972.7987
2/12/2020 3:06,8.04,31.21,3.038,301.7,973.2126
2/12/2020 3:06,7.939,31.28,2.94,293.2,973.3782
2/12/2020 3:06,7.905,31.28,1.568,327.1,973.6265
2/12/2020 3:06,7.939,31.28,2.254,324.9,973.6265
2/12/2020 3:06,7.905,31.35,2.156,315.1,973.4609
2/12/2020 3:06,7.87,31.38,1.666,310.8,973.3782
2/12/2020 3:06,7.87,31.38,1.96,303.5,972.9643
2/12/2020 3:06,7.87,31.45,1.862,319.3,972.7987
2/12/2020 3:06,7.87,31.35,3.234,324.7,973.3782
